,Unnamed: 0,dyad_gameid,trial_num,turn_num,message_id,workerID,block,phrases,scene,tower,message_num,message,content,refExps,leftTarget,rightTarget,tower_pair,rep
96,96,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,0,fbdc2233-05ad-18a9-e7d3-7bcc63f6ed2d,0,1,red,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",red,,Pi,L,Pi_L,4
97,97,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,0,fbdc2233-05ad-18a9-e7d3-7bcc63f6ed2d,1,2,one red block on left and right side,0.0,0,0,"for left red line, one red block on left and right side of line so two spaces apart",one red block on left and right side,,Pi,L,Pi_L,4
98,98,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,2,3659333f-3dea-f9a0-a724-dc8f4be669fb,0,1,blue,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",blue,,Pi,L,Pi_L,4
99,99,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,2,3659333f-3dea-f9a0-a724-dc8f4be669fb,1,2,one blue block on each,0.0,0,1,"for left red line, one blue block on each red block so blue blocks touch/meet",one blue block on each,,Pi,L,Pi_L,4
100,100,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,4,b888cb65-97b1-9d4f-16d2-4a67c6b1b41f,0,2,two blue,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue,,Pi,L,Pi_L,4
101,101,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,4,b888cb65-97b1-9d4f-16d2-4a67c6b1b41f,1,2,two blue blocks,0.0,0,2,"for right line, two blue blocks placed so meet in middle of red line",two blue blocks,,Pi,L,Pi_L,4
102,102,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,6,85dc1819-df63-16b9-3f73-914324dcea5a,0,2,two red,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",two red,,Pi,L,Pi_L,4
103,103,0110-5784fec9-109a-4d7a-a343-4820f4d42144,11.0,6,85dc1819-df63-16b9-3f73-914324dcea5a,1,2,two red blocks,0.0,0,3,"for right line, two red blocks on top each other on left side of left blue block",two red blocks,,Pi,L,Pi_L,4
104,104,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,0,8d00b7b2-7d82-fccf-81eb-88e5d549faad,0,1,blue,0.0,0,0,"blue 2,1",blue,,L,C,L_C,1
105,105,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,0,8d00b7b2-7d82-fccf-81eb-88e5d549faad,1,1,blue,0.0,0,0,"blue 2,1",blue,,L,C,L_C,1
106,106,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,2,43eb280e-7901-7990-64e3-22cfa51de78b,0,1,blue,0.0,0,1,"blue 4,1
",blue,,L,C,L_C,1
107,107,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,2,43eb280e-7901-7990-64e3-22cfa51de78b,1,1,blue,0.0,0,1,"blue 4,1
",blue,,L,C,L_C,1
108,108,0208-b497c845-b076-45c9-b958-a62a3ae6e65f,0.0,4,5d443821-8a7f-03ae-3ad2-3fbf2e573864,0,1,blue,0.0,0,2,"blue 9,1
",blue,,L,C,L_C,1
